Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	total_speciation	turnover
58	0	-32.20801	-38.34819	6.140179	0.03898454	0.001674402	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.00501008	0.0009584353	0.0389845	0.03898454	0.1285145
59	1	-33.77838	-39.45966	5.681278	0.04568424	0.001739497	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00593956	0.00102634	0.0456842	0.04568424	0.1300133
60	0	-36.09664	-42.59362	6.496977	0.03231069	0.01055656	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.00833025	0.001976855	0.0323107	0.03231069	0.257817
61	1	-36.12117	-42.28169	6.160513	0.03786346	0.007784771	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0187938	0.0004712915	0.0378635	0.03786346	0.4963564
62	0	-33.41105	-39.96898	6.557924	0.03231069	0.001389521	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.00468527	0.005049175	0.0323107	0.03231069	0.1450068
63	1	-31.60053	-37.82494	6.224408	0.03786346	0.0007902956	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.0054326	0.001076202	0.0378635	0.03786346	0.1434786
64	0	-34.60386	-41.15368	6.549813	0.03231069	0.001067163	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.010384	0.006182666	0.0323107	0.03231069	0.3213804
65	1	-33.97054	-39.35225	5.381714	0.05027898	0.0007602637	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.00880406	0.0005813093	0.050279	0.05027898	0.1751041
66	0	-32.77752	-39.48561	6.708095	0.03032823	0.000502749	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.00456339	0.004458454	0.0303282	0.03032823	0.1504668
67	1	-33.44657	-39.64137	6.194801	0.0384605	0.0005330867	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0241982	0.0002165769	0.0384605	0.0384605	0.6291692
68	0	-31.04097	-37.77584	6.734874	0.03032823	0.0006297751	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.00197289	0.001653621	0.0303282	0.03032823	0.06505135
69	1	-31.09497	-37.28989	6.19492	0.0384605	0.0005592206	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.00433096	0.0001784729	0.0384605	0.0384605	0.112608
70	0	-33.41592	-39.81109	6.395173	0.0353682	0.0005017602	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.0193975	0.001330158	0.0353682	0.0353682	0.5484443
71	1	-31.02674	-37.22222	6.19548	0.0384605	0.0004716849	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.00832323	0.0002100876	0.0384605	0.0384605	0.2164098
72	0	-33.13864	-38.68381	5.545167	0.04773319	0.000837786	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.0180613	0.001545437	0.0477332	0.04773319	0.3783793
73	1	-31.77373	-37.95859	6.184854	0.0384605	0.0006987814	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.00217052	0.001045536	0.0384605	0.0384605	0.05643514
74	0	-33.98241	-39.51779	5.535384	0.04773319	0.001953127	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.0249726	0.001408386	0.0477332	0.04773319	0.5231706
75	1	-34.53586	-39.93867	5.402818	0.0498056	0.001728664	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0326553	0.0007354997	0.0498056	0.0498056	0.6556557
76	0	-32.58612	-38.9754	6.389278	0.03511857	0.00333683	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.00688977	0.0007894576	0.0351186	0.03511857	0.196186
77	1	-32.34122	-39.26109	6.919868	0.02736202	0.001248739	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.00387499	0.002793577	0.027362	0.02736202	0.1416194
